District,Date,Month,Year,Visitors
Adilabad,42370,January,2016,2
Adilabad,42401,February,2016,0
Adilabad,42430,March,2016,2
Adilabad,42461,April,2016,0
Adilabad,42491,May,2016,0
Adilabad,42522,June,2016,0
Adilabad,42552,July,2016,4
Adilabad,42583,August,2016,2
Adilabad,42614,September,2016,0
Adilabad,42644,October,2016,0
Adilabad,42675,November,2016,0
Adilabad,42705,December,2016,0
Bhadradri Kothagudem ,42370,January,2016,0
Bhadradri Kothagudem ,42401,February,2016,0
Bhadradri Kothagudem ,42430,March,2016,0
Bhadradri Kothagudem ,42461,April,2016,0
Bhadradri Kothagudem ,42491,May,2016,0
Bhadradri Kothagudem ,42522,June,2016,0
Bhadradri Kothagudem ,42552,July,2016,0
Bhadradri Kothagudem ,42583,August,2016,0
Bhadradri Kothagudem ,42614,September,2016,0
Bhadradri Kothagudem ,42644,October,2016,0
Bhadradri Kothagudem ,42675,November,2016,0
Bhadradri Kothagudem ,42705,December,2016,0
Hyderabad,42370,January,2016,15865
Hyderabad,42401,February,2016,29646
Hyderabad,42430,March,2016,13019
Hyderabad,42461,April,2016,8402
Hyderabad,42491,May,2016,8522
Hyderabad,42522,June,2016,10284
Hyderabad,42552,July,2016,17142
Hyderabad,42583,August,2016,12842
Hyderabad,42614,September,2016,9397
Hyderabad,42644,October,2016,12808
Hyderabad,42675,November,2016,8084
Hyderabad,42705,December,2016,17620
Jagtial ,42370,January,2016,0
Jagtial ,42401,February,2016,0
Jagtial ,42430,March,2016,0
Jagtial ,42461,April,2016,0
Jagtial ,42491,May,2016,0
Jagtial ,42522,June,2016,0
Jagtial ,42552,July,2016,0
Jagtial ,42583,August,2016,0
Jagtial ,42614,September,2016,0
Jagtial ,42644,October,2016,0
Jagtial ,42675,November,2016,0
Jagtial ,42705,December,2016,0
Jangaon ,42370,January,2016,0
Jangaon ,42401,February,2016,0
Jangaon ,42430,March,2016,0
Jangaon ,42461,April,2016,0
Jangaon ,42491,May,2016,0
Jangaon ,42522,June,2016,0
Jangaon ,42552,July,2016,0
Jangaon ,42583,August,2016,0
Jangaon ,42614,September,2016,0
Jangaon ,42644,October,2016,0
Jangaon ,42675,November,2016,2
Jangaon ,42705,December,2016,0
Jayashankar Bhoopalpally,42370,January,2016,0
Jayashankar Bhoopalpally,42401,February,2016,0
Jayashankar Bhoopalpally,42430,March,2016,0
Jayashankar Bhoopalpally,42461,April,2016,0
Jayashankar Bhoopalpally,42491,May,2016,0
Jayashankar Bhoopalpally,42522,June,2016,0
Jayashankar Bhoopalpally,42552,July,2016,0
Jayashankar Bhoopalpally,42583,August,2016,0
Jayashankar Bhoopalpally,42614,September,2016,0
Jayashankar Bhoopalpally,42644,October,2016,24
Jayashankar Bhoopalpally,42675,November,2016,22
Jayashankar Bhoopalpally,42705,December,2016,40
Jogulamba Gadwal ,42370,January,2016,0
Jogulamba Gadwal ,42401,February,2016,0
Jogulamba Gadwal ,42430,March,2016,0
Jogulamba Gadwal ,42461,April,2016,0
Jogulamba Gadwal ,42491,May,2016,0
Jogulamba Gadwal ,42522,June,2016,0
Jogulamba Gadwal ,42552,July,2016,0
Jogulamba Gadwal ,42583,August,2016,0
Jogulamba Gadwal ,42614,September,2016,0
Jogulamba Gadwal ,42644,October,2016,13
Jogulamba Gadwal ,42675,November,2016,21
Jogulamba Gadwal ,42705,December,2016,11
Kamareddy ,42370,January,2016,0
Kamareddy ,42401,February,2016,0
Kamareddy ,42430,March,2016,0
Kamareddy ,42461,April,2016,0
Kamareddy ,42491,May,2016,0
Kamareddy ,42522,June,2016,0
Kamareddy ,42552,July,2016,0
Kamareddy ,42583,August,2016,0
Kamareddy ,42614,September,2016,0
Kamareddy ,42644,October,2016,0
Kamareddy ,42675,November,2016,0
Kamareddy ,42705,December,2016,0
Karimnagar ,42370,January,2016,0
Karimnagar ,42401,February,2016,0
Karimnagar ,42430,March,2016,0
Karimnagar ,42461,April,2016,0
Karimnagar ,42491,May,2016,0
Karimnagar ,42522,June,2016,0
Karimnagar ,42552,July,2016,0
Karimnagar ,42583,August,2016,0
Karimnagar ,42614,September,2016,0
Karimnagar ,42644,October,2016,0
Karimnagar ,42675,November,2016,0
Karimnagar ,42705,December,2016,0
Khammam,42370,January,2016,0
Khammam,42401,February,2016,0
Khammam,42430,March,2016,0
Khammam,42461,April,2016,0
Khammam,42491,May,2016,0
Khammam,42522,June,2016,0
Khammam,42552,July,2016,0
Khammam,42583,August,2016,0
Khammam,42614,September,2016,0
Khammam,42644,October,2016,0
Khammam,42675,November,2016,0
Khammam,42705,December,2016,0
Komaram Bheem Asifabad,42370,January,2016,0
Komaram Bheem Asifabad,42401,February,2016,0
Komaram Bheem Asifabad,42430,March,2016,0
Komaram Bheem Asifabad,42461,April,2016,0
Komaram Bheem Asifabad,42491,May,2016,0
Komaram Bheem Asifabad,42522,June,2016,0
Komaram Bheem Asifabad,42552,July,2016,0
Komaram Bheem Asifabad,42583,August,2016,0
Komaram Bheem Asifabad,42614,September,2016,0
Komaram Bheem Asifabad,42644,October,2016,0
Komaram Bheem Asifabad,42675,November,2016,0
Komaram Bheem Asifabad,42705,December,2016,0
Mahabubabad ,42370,January,2016,0
Mahabubabad ,42401,February,2016,0
Mahabubabad ,42430,March,2016,0
Mahabubabad ,42461,April,2016,0
Mahabubabad ,42491,May,2016,0
Mahabubabad ,42522,June,2016,0
Mahabubabad ,42552,July,2016,0
Mahabubabad ,42583,August,2016,0
Mahabubabad ,42614,September,2016,0
Mahabubabad ,42644,October,2016,0
Mahabubabad ,42675,November,2016,0
Mahabubabad ,42705,December,2016,0
Mahbubnagar,42370,January,2016,123
Mahbubnagar,42401,February,2016,126
Mahbubnagar,42430,March,2016,103
Mahbubnagar,42461,April,2016,75
Mahbubnagar,42491,May,2016,58
Mahbubnagar,42522,June,2016,68
Mahbubnagar,42552,July,2016,63
Mahbubnagar,42583,August,2016,86
Mahbubnagar,42614,September,2016,74
Mahbubnagar,42644,October,2016,37
Mahbubnagar,42675,November,2016,29
Mahbubnagar,42705,December,2016,26
Mancherial,42370,January,2016,0
Mancherial,42401,February,2016,0
Mancherial,42430,March,2016,0
Mancherial,42461,April,2016,0
Mancherial,42491,May,2016,0
Mancherial,42522,June,2016,0
Mancherial,42552,July,2016,0
Mancherial,42583,August,2016,0
Mancherial,42614,September,2016,0
Mancherial,42644,October,2016,0
Mancherial,42675,November,2016,0
Mancherial,42705,December,2016,0
Medak ,42370,January,2016,0
Medak ,42401,February,2016,0
Medak ,42430,March,2016,0
Medak ,42461,April,2016,0
Medak ,42491,May,2016,0
Medak ,42522,June,2016,0
Medak ,42552,July,2016,0
Medak ,42583,August,2016,0
Medak ,42614,September,2016,0
Medak ,42644,October,2016,0
Medak ,42675,November,2016,0
Medak ,42705,December,2016,0
